,Song,Slide1,Slide2,Slide3,Slide4,Slide5,Slide6,Slide7,Slide8,Slide9,Slide10,Slide11,Slide12,Slide13,Slide14,Slide15,Slide16,Slide17,Slide18,Slide19,Slide20
24,Enough,"I was born to walk through the fire
I was made to run 
Through these flames
Yeah, even when 
I'm broken and tired
You are enough, enough, enough","And I know you've been feeling
Like nobody cares
Looking for love everywhere
But nobody's there","Your secrets are hidden
And buried deep inside
You try not to show it
But all I see is pride
All I see is fear 
That's not welcome here","Fight hard, persevere
Slowed down, switch your gears
Focus, make this the year
Yeah, you're hopeless
Give Him your tears","And I remember 
Going through the same thing
All that weight on my shoulders
Tried to break me","Father stretch Your hand down
From Heaven, please save me
I'm holding to the promises that
You gave me, You made me","I was born to walk through the fire
I was made to run 
Through these flames
Yeah, even when 
I'm broken and tired
You are enough, enough, enough","Yeah, lately my prayers 
Sound more like complaints
I'm trying to fight insecurity
While balancing faith
Nobody ever changed the world
By playing it safe","When you're afraid is the only
Time that a man can be brave
So, don't tell me God is silent
When your Bible is closed","I know that I'm far from perfect
But I wanna be close
Even on this broken road
I know that God's in control
I'm not where I wanna be
But I'm not where I was","Yeah, so I don't wanna 
Over complicate it
Your love doesn't change
It made me who I am, yeah","And even when I don't think 
I can make it
Your grace surrounds me 
I'm sing it 'til the end, yeah","I could give up, I could just hide
But You walk with me 
Through all of my fires
You do, yeah, You do","I was born to walk through the fire
I was made to run 
Through these flames
Yeah, even when 
I'm broken and tired
You are enough, enough, enough",,,,,,
25,Every Move I Make,"Na, na, na, na, na
Na, na, na, na, na
Every move I make I make in You
You make me move Jesus
Every breath I take I breathe in You","Every step I take I take in You
You are my way Jesus
Every breath I take I breathe in You","Waves of mercy
Waves of grace
Everywhere I look
I see your face","Your love has captured me
Oh my God
This Love
How can it be?",,,,,,,,,,,,,,,,
26,Father God,"Father God
 I wonder how I managed to exist
Without the knowledge
Of your parenthood 
And your loving care","But now I am your child 
I am adopted in your family
And I will never be alone
Cause Father God 
You’re there beside me","And I will, sing your praises
I will sing your praises
I will sing your praises
Forevermore",,,,,,,,,,,,,,,,,
27,Freedom,"Step out of the shadows
Step out of the grave
Break into the wild 
And don't be afraid","Run into wide open spaces
Grace is waiting for you
Dance like the weight 
Has been lifted
Grace is waiting","Where the Spirit of the Lord is
There is freedom
There is freedom
Where the Spirit of the Lord is
There is freedom
There is freedom","Come out of the dark 
Just as you are
Into the fullness of His love
For the Spirit is here
Let there be freedom
Let there be freedom","Bring all of your burdens
Bring all of your scars
Come back to communion
Come back to the start","Run into wide open spaces
Grace is waiting for you
Dance like the weight 
Has been lifted
Grace is waiting","Where the Spirit of the Lord is
There is freedom
There is freedom
Where the Spirit of the Lord is
There is freedom
There is freedom","Come out of the dark 
Just as you are
Into the fullness of His love
For the Spirit is here
Let there be freedom
Let there be freedom","Chains will fall, prisons shake
At the sound of Jesus' name
Lives made whole, hearts awake
At the sound of Jesus' name","Where the Spirit of the Lord is
There is freedom
There is freedom
Where the Spirit of the Lord is
There is freedom
There is freedom","Come out of the dark 
Just as you are
Into the fullness of His love
For the Spirit is here
Let there be freedom
Let there be freedom","Dance like the weight 
Has been lifted
Grace is waiting for you","Dance like the weight 
Has been lifted
Grace is waiting for you
Dance like the weight 
Has been lifted
Grace is waiting","Dance like the weight 
Has been lifted
Cause He did it, yes, He did it
Oh, dance like the weight 
Has been lifted, grace is waiting!","Where the Spirit of the Lord is
There is freedom
There is freedom
Where the Spirit of the Lord is
There is freedom
There is freedom","Come out of the dark 
Just as you are
Into the fullness of His love
For the Spirit is here
Let there be freedom
Let there be freedom",,,,
28,Gentle Woman,"Hail Mary, full of grace,
The Lord is with you.
Blessed are you among women
And blest is the 
Fruit of your womb, Jesus.","Holy Mary, Mother of God,
pray for us sinners now
and at the hour of death.
Amen.","Gentle woman, quiet light,
Morning star, 
So strong and bright,
Gentle Mother, peaceful dove,
Teach us wisdom; teach us love.","You were chosen by the Father;
You were chosen for the Son.
You were chosen 
From all women
And for woman, shining one.","Gentle woman, quiet light,
Morning star, 
So strong and bright,
Gentle Mother, peaceful dove,
Teach us wisdom; teach us love.","Blessed are you among women,
Blest in turn all women, too.
Blessed they with 
Peaceful spirits.
Blessed they with gentle hearts.",,,,,,,,,,,,,,
29,Give Thanks,"Give thanks with a grateful heart
Give thanks to the Holy One
Give thanks because he's given
Jesus Christ, His Son","And now let the weak say I am strong
Let the poor say I am rich
Because of what the Lord has done for us",,,,,,,,,,,,,,,,,,
30,Glory to God in the Highest,"Glory to God in the Highest
Glory to God in the Highest,
Glory to God, Glory to God,
And on Earth, Peace to people of Good Will","We praise you
We bless you
We adore you
We glorify you
We give thanks for your great Glory","Lord God, Heavenly King,
Oh God almighty Father
Lord Jesus Christ, Only begotten Son, 
Lord God, Lamb of God, Son of the Father, ","You take away the sins of the world,have mercy on us
You take away the sins of the world,receive our prayer
You are seated at the right hand of the Father,
Have mercy on us","For you alone are the Holy One,
You alone are the Lord,
You alone are the Most High, Jesus Christ,
With the Holy Spirit,
In the glory of God the Father.
Amen.",,,,,,,,,,,,,,,
31,Go Make a Difference,"Go make a difference.
We can make a difference.
Go make a difference
In the world.","We are the salt of the earth
Called to let the people see
The love of God for you and me.
We are the light of the world
Not to be hidden but be seen.
Go make a difference in the world.","We are the hands of Christ
Reaching out to those in need
The face of God for all to see
We are the spirit of hope
We are the voice of peace.
Go make a difference in the world. ","So let your love shine on
Let it shine for all to see
Go make a difference in the world
And the sprit of Christ
Will be with us as we go
Go make a difference in the world. ",,,,,,,,,,,,,,,,
32,God is on the Move,"Anytime a heart 
Turns from darkness to light
Anytime temptation comes 
And someone stands to fight","Anytime somebody lives to serve
And not be served
I know, I know, 
I know, I know","God is on the move
On the move
Hallelujah
God is on the move
In many mighty ways","God is on the move
On the move
Hallelujah
God is on the move
On the move today","Anytime in weakness 
Someone falls upon their knees
Or dares to speak the truth 
That sets men free","Anytime the choice is made 
To stand upon the Word
I know, I know, 
I know, I know","God is on the move
On the move
Hallelujah
God is on the move
In many mighty ways","God is on the move
On the move
Hallelujah
God is on the move
On the move today","I see a generation
Standing on the truth
In each and every nation
God is on the move","Anytime the gospel stirs 
A searching soul
And someone says, 
Send me, here I go
I know, I know, I know, I know","God is on the move
On the move
Hallelujah
God is on the move
In many mighty ways","God is on the move
On the move
Hallelujah
God is on the move
On the move today","I see a generation
Standing on the truth
In each and every nation
God is on the move",,,,,,,
33,God is Watching Over You,"When you're jumping, jumping up and down 
When you're spinning, spinning round and round 
God's seeing everything you do
Cos He's watching, watching over you ","God is watching, watching over you
24/7 watching over you
Your life is in His hands ooh 
He's got great big plans 
cos he's watching over you","When you're waving your hands up in the air 
When you're shouting, no matter when or where 
God's seeing everything you do 
Cos He's watching, watching over you","God is watching, watching over you
24/7 watching over you
Your life is in His hands ooh 
He's got great big plans 
cos he's watching over you",,,,,,,,,,,,,,,,
34,God Will Reign Forever,"Wo-o-o-o-o-o-o-o-oh 

Wo-o-o-o-o-o-o-o-oh
(x2)","Our God will Reign Forever
Awesome God Forever
God will Reign Forevermore
We stand as one together
Our God will reign forever
God will reign forevermore",,,,,,,,,,,,,,,,,,
35,God's Great Dance Floor,"I'm coming back to the start
Where You found me
I'm coming back to Your heart
Now I surrender
Take me
This is all I can bring","You'll never stop loving us
No matter how far we run
You'll never give up on us
All of heaven shouts
Let the future begin","Take me
This is all 
I can bring","You'll never stop loving us
No matter how far we run
You'll never give up on us
All of heaven shouts
Let the future begin","I feel alive, I come alive
I am alive on 
God's great dance floor",,,,,,,,,,,,,,,
36,Good Good Father,"Oh I've heard a thousand stories of what they think you're like
But I've heard the tender whispers of love in the dead of night
And you tell me that you're pleasedAnd that I'm never alone","You're a good good father
It's who you are, it's who you are, it's who you are
And I'm loved by you
It's who I am, it's who I am, it's who I am","And I've seen many searching for answers far and wide
But I know we're all searching
For answers only you provide
Cause you know just what we needBefore we say a word","You're a good good father
It's who you are, it's who you are, it's who you are
And I'm loved by you
It's who I am, it's who I am, it's who I am","Because you are perfect in all of your ways
You are perfect in all of your ways
You are perfect in all of your ways to us","Oh it's love so undeniable
I, I can hardly speak
Peace so unexplainable
I, I can hardly think","As you call me deeper still
As you call me deeper still
As you call me deeper still
Into love, love, love","You're a good good father
It's who you are, it's who you are, it's who you are
And I'm loved by you
It's who I am, it's who I am, it's who I am","You are perfect in all of your ways
It's who you are, it's who you are, it's who you are
And I'm loved by you
You are perfect in all of your ways
It's who I am, it's who I am, it's who I am",,,,,,,,,,,
37,Great Are You Lord,"You give life, You are love
You bring light to the darkness
You give hope, You restore
Every heart that is broken
And great are You, Lord","It's Your breath in our lungs
So we pour out our praise
We pour out our praise
It's Your breath in our lungs
So we pour out our 
Praise to You only","You give life, You are love
You bring light to the darkness
You give hope, You restore
Every heart that is broken
And great are You, Lord","It's Your breath in our lungs
So we pour out our praise
We pour out our praise
It's Your breath in our lungs
So we pour out our 
Praise to You only","And all the earth 
Will shout Your praise
Our hearts will cry, 
These bones will sing
Great are You, Lord","It's Your breath in our lungs
So we pour out our praise
We pour out our praise
It's Your breath in our lungs
So we pour out our 
Praise to You only",,,,,,,,,,,,,,
38,Hail Holy Queen,"Hail Holy Queen enthroned above
‘Oh Maria’
Hail Mother of Mercy and of love
‘Oh Maria’","Triumph all ye Cherubim,
Sing with us sweet Seraphim,
Heaven and earth resound our hymn
Salve, Salve, Salve Regina","Our life, Our sweetness here below,
‘Oh Maria’
Our hope in sorrow and in woe,
‘Oh Maria’","Triumph all ye Cherubim,
Sing with us sweet Seraphim,
Heaven and earth resound our hymn
Salve, Salve, Salve Regina","Al-le-lu-ia,
Mater amata intemerata
Sanctus, Sanctus Dominus","Virgo respice, Mater adspice
Sanctus, Sanctus Dominus
Al-le-lu-ia (Alleluia)  ",,,,,,,,,,,,,,
39,"He's My Rock, My Sword, My Shield","He's my rock, my sword, my shield
He's my wheel in the middle of the field
He's the lily of the valley
He's the bright and morning star","He's the bright and morning star
Makes no difference what you say
I'm going on my knees and pray
I'm gonna wait right here for Jesus
Till he comes","Cause Jesus is mine
I am forgiven
I'm holding his hand
I'm going to heaven","Cause I found a wonderful savior
Who blesses me forever
I'm his and thank God
He is mine.",,,,,,,,,,,,,,,,
40,Heart of Worship,"When the music fades
All is stripped away
And I simply come
Longing just to bring
Something that's of worth
That will bless your heart","I'll bring you more than a song
For a song in itself
Is not what you have required
You search much deeper within
Through the way things appear
You're looking into my heart","I'm coming back to the heart of worship
And it's all about you,
It's all about you, Jesus","I'm sorry, Lord, 
For the thing I've made it
When it's all about you,
It's all about you, Jesus ","King of endless worth
No one could express
How much you deserve
Though I'm weak and poor
All I have is yours
Every single breath","I'll bring you more than a song
For a song in itself
Is not what you have required
You search much deeper within
Through the way things appear
You're looking into my heart ","I'm coming back to the heart of worship
And it's all about you,
It's all about you, Jesus","I'm sorry, Lord, 
for the thing I've made it
When it's all about you,
It's all about you, Jesus ",,,,,,,,,,,,
41,Here I Am Lord,"I the Lord of sea and sky
I have heard my people cry
All who dwell in dark and sin
My hand will save","I who made the stars of night
I will make their darkness bright
Who will bear my light to them
Whom shall I send?","Here I am Lord, Is it I Lord?
I have heard you calling in the night
I will go Lord, If you lead me
I will hold your people in my heart","I the Lord of snow and rain
I have born my peoples pain
I have wept for love of them
They turn away","I will break their hearts of stone
Fill their hearts with love alone
I will speak my word to them
Whom shall I send?","Here I am Lord, Is it I Lord?
I have heard you calling in the night
I will go Lord, If you lead me
I will hold your people in my heart","I the Lord of wind and flame
I will tend the poor and lame
I will set a feast for them
My hand will save","Finest bread I will provide
Till their hearts be satisfied
I will give My life to them
Whom shall I send?","Here I am Lord, Is it I Lord?
I have heard you calling in the night
I will go Lord, If you lead me
I will hold your people in my heart",,,,,,,,,,,
42,Here I am to Worship,"Light of the world
You stepped down into darkness
Opened my eyes, let me see
Beauty that made this heart adore you
Hope of a life spent with you","Here I am to worship
Here I am to bow down
Here I am to say that 
you’re my God","You’re altogether lovely
Altogether worthy
Altogether wonderful to me","King of all days
Oh so highly exalted
Glorious in heaven above
Humbly you came to the earth you created 
All for love’s sake became poor","Here I am to worship
Here I am to bow down
Here I am to say that 
you’re my God","You’re altogether lovely
Altogether worthy
Altogether wonderful to me","I’ll never know 
how much it cost
To see my sin 
upon that cross",,,,,,,,,,,,,
